fullVisitorId,transacciones
9954291757269899812,1
7105031024714443566,1
6644273643966013405,1
6390628371128313999,1
6373394558572820546,1
4570976451995896965,1
9519825248461982188,1
3563510904717248245,1
8005996482635469170,1
0779199793341944056,1
449424538549488734,1
2966611128426241872,1
1174647913878447921,1
3830485242574967009,1
2797925470043622325,1
3004593292265626624,1
9166972626679050152,1
4984366501121503466,1
391734717153151205,1
7633475394444208361,1
9278147896530416985,1
4175693739550513271,1
587886297354228717,1
9737166459620980047,1
7111968133200925943,1
0097371986665596420,1
0349598333236458498,1
1005326553546138067,1
8899113493615355633,1
0318476411656972479,1
240359488343865855,1
3036945143044651672,1
3303034042373276972,1
0702289726935404752,1
9832163989743197601,1
6827945352712857729,1
2616271879571385041,1
9673964860189487919,1
0795389678082168807,1
5763555354582854124,1
2491238829943520906,1
7731162068091223593,1
1563065767696461622,1
4140153693332318188,1
7115815619589342932,1
6366523937097011266,1
6568405082195988335,1
1675608109098320028,1
7803437096506812413,1
6939779416249682537,1
1193832537421178696,1
5367424131768491778,1
7481522828290694645,1
2551061282285178751,1
7447137895250670218,1
051516119104547275,1
5552453019078254306,1
1665687379365770562,1
4957622252319100547,1
478403815632492375,1
4068416534578096540,1
263896833266166939,1
4242693912596237127,1
8151988731272450660,1
4871826258834761103,1
16925875208939543,1
4376369621294658596,1
6185798445433721880,1
6432310188343340425,1
5564329510174099370,1
1722480716347032461,1
1703470801983285779,1
0679581364401887394,1
8194948038979976753,1
8250431010473509037,1
6302382540936873657,1
3452520076908363504,1
5224330515080725566,1
1459360539535171755,1
9556550673068144771,1
8966349442774967540,1
7248845288199471059,1
9302767552528832368,1
9336440504907193236,1
3736964846520654455,1
8977039158734679466,1
5774321029448220916,1
859169837119660000,1
3741029495705540856,1
1647919038367422597,1
4577377706293036618,1
7308330363798605080,1
8010758488625619131,1
1470956649294061383,1
543368443296403226,1
2817453656935743519,1
262902792123089700,1
2966465528641096132,1
9824524325763367768,1
7183166419038940327,1
3551066677390608620,1
036131108463384213,1
1210036509049986390,1
0112712853580593351,1
0507664246019057034,1
3891707253957252733,1
9376652341885109410,1
8303950448649190197,1
235352179583924900,1
5615435557331654733,1
6817073554026572260,1
6861967258484656845,1
69932627935135372,1
7109365960506850158,1
8903811163323410238,1
9680451704023510043,1
410236987316567002,1
0509537543362594682,1
2034812653909210223,1
0862593861789084986,1
2075444661051129697,1
5155886278275887447,1
1804930412747691262,1
4833825011669343831,1
703628343876693893,1
9007057960603042466,1
1973279275238171732,1
9890182105631590481,1
4958103240836842867,1
6526089365203867148,1
049618887282998852,1
948321323323223626,1
0236160742740831906,1
9102474086699884011,1
2271817805906914184,1
5125140299363465569,1
0316080058721038988,1
