clientId,predicted_label,label,Record Count
633327033.1559406097,1,1,2
117352233.1564725528,0,0,2
296415391.1563688787,1,0,2
579870025.1561313685,1,1,2
484241085.1564990043,1,1,2
716173445.1547522492,0,0,2
516814284.1563089173,0,0,2
198678232.1508946401,1,1,2
698564125.1554621533,1,1,2
463189740.1564492341,1,0,2
860589773.1531396040,0,0,2
619976799.1563731969,0,0,2
341444377.1557833913,0,0,2
576186224.1550404762,1,0,2
146534119.1551014702,0,0,2
453318038.581281466,0,0,2
181387784.1557678577,1,1,2
732349642.1561238035,1,1,2
881015027.1566453560,0,0,2
293162017.1534006341,0,0,2
627756189.1566835451,1,1,2
592786144.1567166267,0,0,2
938775485.1560365851,1,1,2
944593986.1546343473,1,0,2
587084439.1554912335,1,1,2
731745860.1563455627,1,1,2
960175160.1558167348,1,1,2
380139819.1556447099,1,1,2
705846636.1544954474,1,0,2
818479776.1556436037,1,0,2
678295935.1569606938,0,0,2
290993648.1561028243,0,0,2
137122641.1546702721,1,1,2
554523080.1550091979,1,1,2
306175714.1554011914,0,0,2
306955726.1557409448,0,0,2
872509092.1551628829,0,0,2
685074796.1546973924,1,0,2
913107837.1559844890,1,1,2
228452442.1559943977,1,1,2
354210950.1551939828,1,0,2
935737492.1557229389,1,0,2
433762660.1569668359,1,0,2
768135702.1555418686,0,0,2
335400103.1548452140,1,1,2
930334463.1564862067,1,1,2
164624116.1546798247,0,0,2
781297337.1532704405,1,0,2
180133826.1546554514,1,1,2
576026955.1562007504,1,1,2
382691688.1569153418,0,0,2
984937781.1567187799,0,0,2
742399919.1557165186,0,0,2
201481715.1545582698,1,1,2
838911824.1561886708,1,1,2
979665982.1550170692,0,0,2
495819448.1555787250,1,1,2
652456427.1560854139,1,1,2
772043539.1551769150,1,0,2
321090926.1551787084,1,0,2
355002417.1535230345,1,1,2
556221712.1551549001,1,1,2
709785585.1553679312,0,0,2
541389240.1558221869,0,0,2
241321138.1563217087,0,0,2
232301151.1562518687,1,1,2
286383316.1561312777,1,0,2
649026938.1555786852,1,1,2
757215942.1566043011,0,0,2
827351341.1547380775,0,0,2
